"label","value","chain","chainValue","parentLabel","parentValue","gasUSD","gasUSDPctChange","transactions","transactionsPctChange","activeAddresses","activeAddressesPctChange"
"0xf6fea1c1133f24fd3aea19d84c042f7fc3aef495","0xf6fea1c1133f24fd3aea19d84c042f7fc3aef495","Ethereum","ethereum","","","5.363799594342702","","4","","1",""
"0x1c71017e2ee60d844544bbc0dbd7c4109c00d42a","0x1c71017e2ee60d844544bbc0dbd7c4109c00d42a","Ethereum","ethereum","","","5.363722921021671","","3","","1",""
"0xcab3288a416aa2b37ee7e8a69fad6ded7a7b4cc2","0xcab3288a416aa2b37ee7e8a69fad6ded7a7b4cc2","Ethereum","ethereum","","","5.363667221868441","389.48511796398566","3","50.000000","1","0.000000"
"0x3d75b6bfed77ca340fd7d371cc0b464a2b03a936","0x3d75b6bfed77ca340fd7d371cc0b464a2b03a936","Ethereum","ethereum","","","5.3635761201336845","","6","","3",""
"0xdc9e0839d957e55807be5ed0c2f62ceb0f934caf","0xdc9e0839d957e55807be5ed0c2f62ceb0f934caf","Ethereum","ethereum","","","5.363365343210278","195.98349419594607","5","-16.666667","1","0.000000"
"0xaac97957f342251a6185782f591e362469809f9f","0xaac97957f342251a6185782f591e362469809f9f","Ethereum","ethereum","","","5.3632125280938405","","2","","2",""
"0x807a32669ba2c11a963d307729557a3f6e3faeb6","0x807a32669ba2c11a963d307729557a3f6e3faeb6","Ethereum","ethereum","","","5.363101438916226","525.3272576354436","3","50.000000","1","-50.000000"
"0x9dcc768d0e7c05a689ae40a1479af1d82af7388d","0x9dcc768d0e7c05a689ae40a1479af1d82af7388d","Ethereum","ethereum","","","5.3628789653744","","6","","6",""
"0x42c24048feff89b578e7e11d426ffc9e9ad39fac","0x42c24048feff89b578e7e11d426ffc9e9ad39fac","Ethereum","ethereum","","","5.36246591739757","","3","","1",""
"0xca8ad6324e36a3b6b534b71797a038951b36fa21","0xca8ad6324e36a3b6b534b71797a038951b36fa21","Ethereum","ethereum","","","5.362319040687369","","3","","1",""
"0x7c7227aeae8a64ecf2b9ede18f2ae1734714c021","0x7c7227aeae8a64ecf2b9ede18f2ae1734714c021","Ethereum","ethereum","","","5.361784385184429","","6","","6",""
"0xe9ae07129e3823b933a9d2dd8f9e575d28c930ee","0xe9ae07129e3823b933a9d2dd8f9e575d28c930ee","Ethereum","ethereum","","","5.361488104273402","","2","","1",""
"0xa89bc4a4c2e46a317aec7b9debddfb12a08afbbd","0xa89bc4a4c2e46a317aec7b9debddfb12a08afbbd","Ethereum","ethereum","","","5.360692983223146","","2","","2",""
"0xa405c36c62788e769435cd8595d1572ef927dcbf","0xa405c36c62788e769435cd8595d1572ef927dcbf","Ethereum","ethereum","","","5.359678315917787","379.15976332514975","11","120.000000","10","100.000000"
"0x18e24850fdeceee577da1e08c63b260cff69b962","0x18e24850fdeceee577da1e08c63b260cff69b962","Ethereum","ethereum","","","5.3595913339801005","","4","","4",""
"0x5f35573f893a02e37ad73f20ae44e53ee669fd51","0x5f35573f893a02e37ad73f20ae44e53ee669fd51","Ethereum","ethereum","","","5.359586255052609","","4","","4",""
"0x4ff4a5d32b1121a68a49becbd385b70ffdb8fe12","0x4ff4a5d32b1121a68a49becbd385b70ffdb8fe12","Ethereum","ethereum","","","5.359087355311945","","4","","2",""
"0x76ff445abda63c472a4f508203a5aac0feffa6d2","0x76ff445abda63c472a4f508203a5aac0feffa6d2","Ethereum","ethereum","","","5.359069975617836","","3","","1",""
"0xe8a5e14138ad976da983b4459ca734a8498af27b","0xe8a5e14138ad976da983b4459ca734a8498af27b","Ethereum","ethereum","","","5.359002819793257","","4","","3",""
"0xd39967f5111404df418857e14ff8bdc098d8adaa","0xd39967f5111404df418857e14ff8bdc098d8adaa","Ethereum","ethereum","","","5.358920059246142","","2","","2",""
"0x1476ef024776e5bb8b34f3861bd447e4e9a27e80","0x1476ef024776e5bb8b34f3861bd447e4e9a27e80","Ethereum","ethereum","","","5.358185048267039","","7","","7",""
"0x6c5e33d0861d380b41c9318e29574f4468a1a7d9","0x6c5e33d0861d380b41c9318e29574f4468a1a7d9","Ethereum","ethereum","","","5.357956262511805","226.12802515941758","7","40.000000","1","0.000000"
"0x22f4586a766d2a1428bdcbdb71f1f9e29c0613be","0x22f4586a766d2a1428bdcbdb71f1f9e29c0613be","Ethereum","ethereum","","","5.357695846695632","","3","","1",""
